old_label,final_label,changed,source
!,!,False,unchanged
! A VOIR,! a voir,True,auto-syntax
! A voir,! a voir,True,auto-syntax
! G,! g,True,auto-syntax
! N 120 sec,! n 120 sec,True,auto-syntax
! N 200 sec,! n 200 sec,True,auto-syntax
! N 220 sec,! n 220 sec,True,auto-syntax
! N 240 sec,! n 240 sec,True,auto-syntax
! at de mal 30 minutes,! at de mal 30 minutes,False,unchanged
! centro post,! centro post,False,unchanged
! des lentes médianes,! des lentes médianes,False,unchanged
! des lentes rythmiques,! des lentes rythmiques,False,unchanged
! n HPN,! n hpn,True,auto-syntax
! plutot postérieur!,! plutot postérieur!,False,unchanged
! revultion des yeux,! revultion des yeux,False,unchanged
! st HPN 40 sec,! st hpn 40 sec,True,auto-syntax
! st HPN 60 sec,! st hpn 60 sec,True,auto-syntax
! urmillements aux bras,! urmillements aux bras,False,unchanged
!!,!,True,auto-syntax
!!!,!,True,auto-syntax
!!!!,!,True,auto-syntax
!!!VOIR pointes temporales droites !!!!!,!voir pointes temporales droites!,True,auto-syntax
!*,!,True,auto-syntax
!:,!:,False,unchanged
!VOIR TEMPORAL D!,!voir temporal d!,True,auto-syntax
""" voilà voilà""",""" voilà voilà""",False,unchanged
"""Oui"" oral et de la tête","""oui"" oral et de la tête",True,auto-syntax
"""absence""","""absence""",False,unchanged
"""c'est en train de monter""","""c'est en train de monter""",False,unchanged
"""ca descend""= atténuation de sensation","""ca descend""= atténuation de sensation",False,unchanged
"""ca monte""=majoration intensi chaleur","""ca monte""=majoration intensi chaleur",False,unchanged
"""ca vient au niveau des mains""","""ca vient au niveau des mains""",False,unchanged
"""court ronflement""","""court ronflement""",False,unchanged
"""grandes crises"" d'avant","""grandes crises"" d'avant",False,unchanged
"""oui"" inadapté","""oui"" inadapté",False,unchanged
"""retiens le mot bateau""","""retiens le mot bateau""",False,unchanged
"""revulsion oculaire""","""revulsion oculaire""",False,unchanged
"""voilà voilà","""voilà voilà",False,unchanged
"""voilà voilà""","""voilà voilà""",False,unchanged
"""voilà""","""voilà""",False,unchanged
%éveil,%éveil,False,unchanged
&#776;P,776;p,True,auto-syntax
&#956;,956;,True,auto-syntax
&#956;éveil,956;éveil,True,auto-syntax
',',False,unchanged
(P4) T6 et O2?,(p4) t6 et o2?,True,auto-syntax
(erreur d'annotation?),(erreur d'annotation?),False,unchanged
(par la mère) sursaut pied droit,(par la mère) sursaut pied droit,False,unchanged
*,,True,auto-syntax
* *, ,True,auto-syntax
* * * Part 1 * * *, part 1 ,True,auto-syntax
* * * Part 10 * * *, part 10 ,True,auto-syntax
* * * Part 11 * * *, part 11 ,True,auto-syntax
* * * Part 12 * * *, part 12 ,True,auto-syntax
* * * Part 13 * * *, part 13 ,True,auto-syntax
* * * Part 14 * * *, part 14 ,True,auto-syntax
* * * Part 15 * * *, part 15 ,True,auto-syntax
* * * Part 16 * * *, part 16 ,True,auto-syntax
* * * Part 17 * * *, part 17 ,True,auto-syntax
* * * Part 18 * * *, part 18 ,True,auto-syntax
* * * Part 19 * * *, part 19 ,True,auto-syntax
* * * Part 2 * * *, part 2 ,True,auto-syntax
* * * Part 20 * * *, part 20 ,True,auto-syntax
* * * Part 21 * * *, part 21 ,True,auto-syntax
* * * Part 22 * * *, part 22 ,True,auto-syntax
* * * Part 23 * * *, part 23 ,True,auto-syntax
